# Created by Octave 4.0.0, Sun Apr 22 21:28:05 2018 MST <gesposito@rabbit>
# name: j_bp
# type: matrix
# rows: 94
# columns: 2
 60 20
 62 20
 32 12
 20 2
 22 -2
 30 15
 2 10
 24 18
 6 4
 14 2
 30 18
 40 30
 40 20
 34 18
 2 -8
 20 22
 10 8
 32 30
 28 10
 30 26
 24 10
 18 0
 20 10
 20 0
 40 20
 50 0
 30 16
 22 6
 40 20
 60 20
 35 5
 10 0
 40 20
 54 18
 40 0
 40 10
 14 15
 14 20
 30 30
 2 6
 40 40
 40 0
 8 8
 52 8
 26 10
 4 2
 18 4
 15 15
 20 0
 0 0
 64 12
 32 18
 28 0
 50 30
 30 20
 20 18
 65 16
 40 10
 10 0
 48 8
 60 30
 10 20
 6 4
 14 4
 20 14
 10 0
 20 10
 60 22
 40 16
 30 10
 55 11
 42 0
 30 8
 20 18
 40 10
 58 12
 76 8
 22 10
 56 18
 22 2
 20 -2
 36 18
 40 30
 38 24
 8 0
 42 -2
 2 0
 30 10
 28 8
 30 0
 48 22
 48 -10
 38 12
 20 2


